Comments;;
['FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.'];;
['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'reverted --> actionbar color & background', '', ''];;
['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'contact-sync enabled.', '', ''];;
['SFR-108 : Help Foother can be configured by enable_help_footer.', 'for SFR it is disabled.', '', ''];;
['Removed AMX specific layouts.'];;
['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'contact-sync disabled. It was not a correct way.', ''];;
['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'contact-sync enabled correctly.', ''];;
['SFR-108 : using WL base & snc urls'];;
['SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer'];;
['SFR-108 : androidM related strings added.'];;
['SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.'];;
['SFR-108 : preparing release for SFR'];;
['[gradle-release] prepare for next development iteration'];;
['Chnaged jira url to htps'];;
['enable all clients'];;
['Removed unused webview.plan.management and webview_plan_management properties'];;
['Renamed folder to the correct name'];;
